==============================================
HEADER ANALYSIS
==============================================

Total Statements : 6871
Unique Headers   : 1607

==============================================
HEADER FREQUENCY
==============================================

    3    SCH AMT
    3    SCH QTY
    3    SCH%
    3    SCMDISC
    3    SGST/VAT%
    3    SGST/VATAMT
    3    SRETQTY
    3    ST-ADD
    3    ST-LESS
    3    STKAD
    3    STOCK VALUE
    3    STOCKIEST:
    3    STOCKVALUE@SALEPRICE(WITHOUT FREE)
    3    STOCKVALUEATSALEPRICE
    3    TAX PAYABLE
    3    THIR
    3    TOT SAL
    3    TOTAL_TAXABLE_AMOUNT
    3    UDESC
    2    ____________
    2    _COLOR
    2    <===SALE===>
    2    <==CLOSING==>
    2    10721.87
    2    15S
    2    1S
    2    1X10
    2    3
    2    4
    2    46204
    2    46234
    2    6703
    2    69
    2    75 GM
    2    AC1
    2    AC10
    2    AC11
    2    AC12
    2    AC13
    2    AC14
    2    AC15
    2    AC16
    2    AC17
    2    AC18
    2    AC19
    2    AC2
    2    AC20
    2    AC21
    2    AC22
    2    AC23
    2    AC24
    2    AC25
    2    AC26
    2    AC27
    2    AC28
    2    AC29
    2    AC3
    2    AC30
    2    AC31
    2    AC32
    2    AC33
    2    AC34
    2    AC35
    2    AC36
    2    AC37
    2    AC38
    2    AC39
    2    AC4
    2    AC40
    2    AC41
    2    AC42
    2    AC5
    2    AC6
    2    AC7
    2    AC8
    2    AC9
    2    ADDRESS LINE 1
    2    ADDRESS LINE 2
    2    ADJUST/UNIT
    2    AMINTOZ INJ
    2    AMT.IN
    2    AMT.OUT
    2    ARASIKERE
    2    AREA:
    2    AVG. PRICE
    2    BILL
    2    BILL #
    2    BILL SERIAL
    2    BRANCH CODE
    2    C/BAL
    2    C/VAL
    2    CASIL SOAP
    2    CD AMOUNT
    2    CD(%)
    2    CGST/CST%
    2    CL STK
    2    CL_VALUE
    2    CL.VAL
    2    CLIENT NAME
    2    CLOSEVAL
    2    CLOSING AMT
    2    CLOSING BAL VALUE
    2    CLOSINGSTOCKVALUE BT
    2    CLQ
    2    CLV
    2    CODE        NAME                          PACKING
    2    COMPRET
    2    COMPUTE_0009
    2    COST
    2    CRQTY
    2    CVR
    2    DBQTY
    2    DEAL
    2    DIS.%
    2    DIS.AMT
    2    DUMP QTY
    2    EBERNET CREAM
    2    EXCESS QTY
    2    EXPIRY BREAKAGE
    2    FREE QT
    2    FREEQTY
    2    FREESTOCKVALUE@COST
    2    GENERIC
    2    GODOWN
    2    GOODS VALUE
    2    GP%
    2    GPAMT
    2    GRAND TOTAL
    2    HSNCODE
    2    ICODE
    2    ID
    2    ILASTSALESVALUE
    2    INSTSALES
    2    INVN
    2    INVNO.
    2    INVOICE DATE
    2    JUL
    2    LASTMNTH
    2    LASTMNTHVAL
    2    LEDGER CODE
    2    LOCATION2
    2    M.OUT
    2    M.R.P.
    2    METIS G1 TAB
    2    MSRP PRICE
    2    NAME OF THE PRODUCT
    2    NETSTOCKVALUE@SALE
    2    NETVALUE SPLDISSPLDISAMT
    2    NEXD
    2    NVALUE
    2    OP AMT
    2    OP STK
    2    OP.AMT.
    2    OP.ST
    2    OPEN
    2    OPENING BAL VALUE
    2    OPENINGSTOCKVALUE@COST
    2    OPQ
    2    ORD
    2    ORDER ITEM LIST
    2    ORDNO
    2    OTH
    2    OTHS
    2    PARENT MANUFACTURER
    2    PARK CHEMIST DELHI
    2    PENDINGPOQUANTITY
    2    PIQ
    2    PIV (TAXABLE)
    2    PKG.
    2    PLEASE FOLLOW THE INSTRUCTIONS GIVEN BELOW:
    2    PMFGR
    2    PRATE
    2    PREVLASTSALE
    2    PREVSALE
    2    PRICE
    2    PRODUCT & PACK
    2    PSCH
    2    PSRI PHARMACY A UNIT OF PLUS DISTRIBUTION PVT. LTD.
    2    PUR AMT
    2    PUR_HIS
    2    PUR.
    2    PUR+RPL
    2    PURC.
    2    PURC.RETURN QTY
    2    PURCHASE QTY W/O RET AND FREE
    2    PURCHASE REPLACEMENTQTY
    2    PURRTN
    2    PV
    2    RAMACHANDRA MEDICAL AGENCIES
    2    RECEIPT VALUE
    2    RECEIPT/PUR VALUE
    2    REORDER - QTY.
    2    REPL/
    2    REPL/OTHER
    2    RETURN QUANTITY
    2    S.CODE
    2    SALE * APPROX VALUE
    2    SALE AMT
    2    SALE RETURN QTY
    2    SALE+RPL
    2    SALERATE
    2    SALESVALUE BT
    2    SAQTY
    2    SC%
    2    SCAMT
    2    SCM AMT
    2    SCM PER
    2    SCM PER AMT
    2    SHORT EXP
    2    SIQ
    2    SIV (TAXABLE)
    2    SL RET
    2    SL RPL
    2    SL.VAL
    2    SP C.D.(%)
    2    ST-IN
    2    ST-OUT
    2    STAR MEDICALS DR T V MALAI
    2    STATION
    2    STK_BAL
    2    STK_ISS
    2    STK_OPN
    2    STK_RCV
    2    STOCK & SALES STATEMENT FOR JUL-26
    2    STOCKVALUE@COST(WITHOUT FREE)
    2    SUBSALESVAL
    2    SUPPLIER NAME
    2    SV
    2    SVC
    2    TAXAMT.
    2    TD AMOUNT
    2    TD(%)
    2    TD%
    2    TDAMT
    2    TOTAL VALUE
    2    TOTALSTOCKWITHOUTFREE
    2    TRANSIT
    2    TRN.NO
    2    UNITCOST
    2    UPC
    2    UTGST
    2    WP%
    2    WPAMT
    1    -1
    1    -2
    1    -3
    1    .EPITRA RTU 500MG INJ ( NO SALE )
    1    .VYSOV DM 100/10/1000MG TAB 10S ( NO SALE )
    1    .VYSOV MXR 100/1000MG TAB 15S ( NO SALE )
    1    '01-JUL-2026
    1    '31-JUL-2026
    1    (9414088729)
    1    #
    1    00
    1    03/08/2026
    1    1*10
    1    10 S
    1    10 TAB
    1    10"S
    1    10+10
    1    100ML
    1    12169
    1    142.14
    1    14620
    1    15 S
    1    15'S
    1    15147
    1    15GM
    1    15GMS
    1    15ML
    1    1636
    1    16711
    1    16721
    1    180 DAYS
    1    19073
    1    19969
    1    1ML
    1    20
    1    22743
    1    23332
    1    24 HOURS PHARMACY KARNAL
    1    27.14
    1    2ML
    1    3059
    1    30GM
    1    320
    1    33953
    1    35809
    1    37740
    1    41201
    1    418.9
    1    46113
    1    46143
    1    46235
    1    4ML
    1    5
    1    5  4/26
    1    5099
    1    55330
    1    557.03
    1    574.3
    1    57821
    1    60 DAYS
    1    60GM
    1    72993
    1    74.21
    1    75GM
    1    8093
    1    84586
    1    AC43
    1    AC44
    1    AC45
    1    AC46
    1    AC47
    1    AC48
    1    AC49
    1    ACNESTAL  5.5 75GM
    1    ACNESTAL FACE WASH
    1    ACNESTAL FACE WASH         60ML
    1    ADD :BANK STREET
    1    ADD :SULTAN BAZAR
    1    ADJQTY
    1    ADJUST
    1    ADJUSTMENT QUANTITY
    1    ADR. 1
    1    ADR. 2
    1    ADR. 3
    1    AJ TRIEXER 2 TABS
    1    AMBERNAT
    1    AMINTOZ TAB                10 S
    1    AMOUNT - ID
    1    AMT. IN
    1    AMT. OUT
    1    AND
    1    ANMOL ETHICAL PHARMACY (EAST DELHI)
    1    ANTICLAV-625 TAB           6'S
    1    AREA SPLIT
    1    AREA_NAME
    1    ARI59
    1    ARIDAY 15 MG               1*10
    1    ARIDAY 2.5 TAB
    1    ARIDAY 2.5MG TAB
    1    ASCLIN P TAB 10S
    1    ATHARV MEDICA
    1    AV.RATE
    1    AZHAGAR MEDICAL AGENCIES
    1    AZHAGAR MEDICAL SHOP BY-PAS
    1    B50
    1    BAL-QNTY
    1    BAL.QTY
    1    BATCH EXPIRY
